Date,Open,High,Low,Close,Adj Close,Volume,,logreturn
10/4/2017,106.940002,110.160004,106.190002,109.339996,108.58667,9092400,,0.004386665
10/5/2017,109.660004,110.989998,109.550003,110.449997,109.689026,5670400,,-0.000196633
10/6/2017,110.169998,110.669998,109.919998,110.400002,109.639374,3240300,,-0.001536913
10/9/2017,110.589996,110.93,109.790001,110.010002,109.25206,1977800,,0.003029193
10/10/2017,110.279999,110.860001,110.279999,110.779999,110.016754,3032300,,0.002852445
10/11/2017,110.900002,111.809998,110.769997,111.510002,110.741722,4051100,,0.003645649
10/12/2017,111.510002,112.510002,111.379997,112.449997,111.675247,3287200,,0.000656072
10/13/2017,112.730003,112.980003,112.18,112.620003,111.844078,3090500,,0.003648088
10/16/2017,112.93,113.629997,112.690002,113.57,112.787529,2675900,,-0.005309473
10/17/2017,113.220001,113.559998,111.660004,112.190002,111.417038,3825200,,-0.000930064
10/18/2017,111.949997,112.440002,111.779999,111.949997,111.178688,2590500,,0.002784207
10/19/2017,111.620003,112.790001,111.599998,112.669998,111.89373,2673700,,-0.004105183
10/20/2017,113.010002,113.019997,111.379997,111.610001,110.841034,3772300,,0.000311195
10/23/2017,111.639999,112.449997,111.400002,111.690002,110.920486,2263200,,-0.003670561
10/24/2017,111.839996,111.870003,110.279999,110.75,109.986961,3351100,,-0.002674769
10/25/2017,110.43,110.529999,109.18,110.07,109.311646,3836900,,0.002596346
10/26/2017,110.669998,111.239998,110.410004,110.730003,109.967102,2865000,,-0.000510203
10/27/2017,110.410004,110.849998,109.93,110.599998,109.83799,3343200,,-0.003746476
10/30/2017,110.360001,110.370003,109.360001,109.650002,108.894539,2206100,,0.002291172
10/31/2017,110.239998,110.769997,109.949997,110.230003,109.470543,4379400,,-0.000394172
11/1/2017,109.760002,110.68,109.610001,110.129997,109.371231,2822400,,-0.000315577
11/2/2017,109.910004,110.18,109.540001,110.050003,109.291786,2169800,,0.000670337
11/3/2017,110.139999,110.650002,110,110.220001,109.460609,1725700,,-0.003799203
11/6/2017,109.970001,110,109.190002,109.260002,108.507225,3331800,,0.004783176
11/7/2017,109.150002,110.580002,109.150002,110.470001,109.708893,3882000,,0.005973654
11/8/2017,110.57,112.040001,110.5,112,111.228348,3685300,,-0.002021069
11/9/2017,111.349998,112.440002,111.019997,111.480003,110.711929,2856900,,0.004919606
11/10/2017,111.440002,112.980003,111.309998,112.75,111.973183,3699500,,0.004940657
11/13/2017,112.690002,114.190002,112.639999,114.040001,113.254295,3194500,,0.006501292
11/14/2017,113.690002,116.190002,113.589996,115.760002,114.96244,4998900,,-0.002483207
11/15/2017,115.650002,115.93,114.309998,115.099998,114.306984,3861500,,0.000490267
11/16/2017,115.389999,115.839996,114.940002,115.230003,114.436096,3058100,,-0.002077879
11/17/2017,114.730003,115.139999,114.529999,114.68,113.889885,2646400,,0.000870143
11/20/2017,114.75,115.849998,114.709999,114.910004,114.118301,3594300,,0.004287333
11/21/2017,114.989998,116.330002,114.970001,116.050003,115.25045,3179300,,-0.003645322
11/22/2017,115.769997,116,114.279999,115.080002,114.287125,3598500,,0.003083596
11/24/2017,115.650002,116.300003,115.43,115.900002,115.101479,1183000,,-0.000187415
11/27/2017,116,116.400002,115.660004,115.849998,115.051819,2818900,,0.003435229
11/28/2017,116.260002,116.830002,115.300003,116.769997,115.965477,3600400,,0.000260273
11/29/2017,116.839996,117.379997,116.290001,116.839996,116.034996,3276300,,0.001811473
